ts,ad_id,model_key,price,condition,extras,location,title
2026-09-02T14:41:57+00:00,3501766411,ps5_disc,365,gebraucht,0,58636 Iserlohn,***PlayStation 5***Disc Edition
2026-09-02T14:41:57+00:00,3501765232,ps5_slim,500,neu,0,82377 Penzberg,ps5 slim mit Laufwerk
2026-09-02T14:41:57+00:00,3501764515,ps5_digital,449,neu,0,53332 Bornheim,PlayStation 5 SLIM DIGITAL✅ - WIE NEU MIT OVP RECHNUNG/GARANTIE✅
2026-09-02T14:41:57+00:00,3501763852,ps5_disc,400,neu,0,79618 Rheinfelden (Baden),PS5 Disc Edition
2026-09-02T14:41:57+00:00,3501741502,ps4,220,gebraucht,0,75217 Birkenfeld,Sony PlayStation 4 Slim Limited Edition Camouflage 1TB
2026-09-02T14:41:57+00:00,3501760843,ps5_digital,450,neu,0,50827 Ehrenfeld,"Playstation 5 Digital Slim (Wie neu, mit OVP)"
2026-09-02T14:41:57+00:00,3501738674,ps5_disc,500,gebraucht,0,12555 Köpenick,Ps5 mit gta 5 und the Motor fest
2026-09-02T14:41:57+00:00,3501759100,ps5_disc,150,gebraucht,1,22547 Hamburg Lurup,Sony PlayStation 5 mit 2 Controllern und Monitor
2026-09-02T14:41:57+00:00,3501758713,ps5_pro,1100,neu,0,95183 Trogen,PS5 Pro 2TB neu(Originalverpackung)
2026-09-02T14:41:57+00:00,3501756934,ps5_digital,480,gebraucht,0,42285 Barmen,PlayStation 5 Digital Edition + Controller
2026-09-02T14:41:57+00:00,3501755661,ps5_disc,380,gebraucht,0,53879 Euskirchen,PS5 825GB Disc Edition
2026-09-02T14:41:57+00:00,3501734855,ps5_pro,1399,gebraucht,0,52076 Kornelimünster/Walheim,PS5 Pro + Laufwerk + DualSense Edge neuwertig 4 TB PLAYSTATION 5
2026-09-02T14:41:57+00:00,3501754158,ps5_pro,850,gebraucht,0,37120 Bovenden,Playstation 5 pro Konsole mit Garantie vom 5/26
